COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SUBGROUP,2014 Adjusted Cohort Grad Rate,2013 Adjusted Cohort Grad Rate,2012 Adjusted Cohort Grad Rate,2011 Adjusted Cohort Grad Rate
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,S,70.32%,67.16%,69.67%,67.98%
01,ATLANTIC,0110,ATLANTIC CITY,999,Districtwide Total,D,70.32%,67.16%,69.67%,67.98%
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,S,97.48%,97.81%,96.77%,94.31%
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,D,97.48%,97.81%,96.77%,94.31%
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,S,87.98%,84.80%,89.50%,83.86%
01,ATLANTIC,0590,BUENA REGIONAL,999,Districtwide Total,D,87.98%,84.80%,89.50%,83.86%
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,S,93.09%,93.00%,92.63%,93.54%
01,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,D,93.09%,93.00%,92.63%,93.54%
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,ABSEGAMI HIGH SCHOOL,S,92.86%,91.21%,88.45%,87.32%
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,S,91.72%,84.07%,82.44%,89.20%
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,S,90.00%,92.11%,,
01,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,D,91.84%,89.00%,85.34%,88.18%
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,S,92.53%,90.31%,88.02%,82.90%
01,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,D,92.53%,90.31%,88.02%,82.90%
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,S,92.56%,92.68%,92.15%,91.77%
01,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,D,92.56%,92.68%,92.15%,91.77%
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,S,75.98%,70.03%,66.92%,64.29%
01,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,D,75.98%,70.03%,66.92%,64.29%
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,BERGEN COUNTY ACADEMIES,S,100.00%,97.71%,99.25%,98.89%
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,S,99.15%,100.00%,100.00%,99.35%
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,999,Districtwide Total,D,99.66%,98.67%,99.55%,98.60%
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,S,96.85%,97.26%,96.18%,97.20%
03,BERGEN,0300,BERGENFIELD BORO,999,Districtwide Total,D,96.85%,97.26%,96.18%,97.20%
