Ledgerstyle,county,geotype,Character2008,POP2010,WHITEONLY2010,BlackONLY2010,ASIANONLY2010,HISPANIC2010,_2010PopSqMile,POP2000,StateLegDISTRICT2011,2010FIPS,2000FIPS,EMPTY,Statemuniname,1968statecode,TreasuryTaxationcode03,Federalcode03,2003LegislativeDistrict,AlternateCountyCodestate,COUNTY00,muniname06,njmuncode,DOEco_code,DOEdist_code,DOEco_name,DOEdis_name,DOEdfg,MUNICIPALITY,AREA_IN_SQUARE_Miles00WRONG,DENSITY_PER_Square_MileWRONG,Character10,SUMLEV10,GEOCOMP10,CHARITER10,CIFSN10,LOGRECNO10,REGION10,DIVISION10,STATE10,COUNTY10,COUNTYCC10,COUNTYSC10,COUSUB10,COUSUBCC10,COUSUBSC10,CBSA10,CBSASC10,METDIV10,CSA10,CD10,SLDU10,SLDL10,SDELM10,SDSEC10,SDUNI10,AREALAND10,AREAWATR10,AREAname10,FUNCSTAT10,GCUNI10,POP10010,HU10010,INTPTLAT10,INTPTLON10,LSADC10,STATENS10,COUNTYNS10,COUSUBNS10,PLACENS,CSASC10,MEMI10,PUMA10,RESERVED10,2010FIPS,SUMLEV00,LOGRECNO00,STATECE00,STATEFIPS00,COUNTYFIPS00,COUNTYSC00,COUSUBFIPS00,COUSUBCC00,COUSUBSC00,PLACE00,PLACECC00,PLACEDC00,MSACMSA00,MASC00,CMSA00,MACCI00,PMSA00,CD106,AREALAND00,AREAWATR00,NAME00,FUNCSTAT00,GCUNI00,POP10000,HU10000,INTPTLAT00,INTPTLON00,LSADC00,2000FIPS,LANDSQMI2010,WATRSQMI2010,TOTSQMI2010,_2010PopSqMile,LANDSQMILE2000,WATRSQMILE2000,TOTSQMILE2000,_2000PopSqMile
New Jersey,,State,,8791894,,,,,1195.489656,8414350,,34,34,,,,,,,,,,,,,,,,,,,,40,0,0,  ,1,1,2,34,   ,  ,  ,     ,  ,  ,     ,  ,     ,   ,,,,,,,19047341691,3544030209,New Jersey                                                                                ,A,!,8791894,3553562,40.1072744,-74.6652012,0,1779795,        ,        ,        ,  , ,     ,                  ,34,40,1,22,34,   ,  ,     ,  ,  ,     ,  , ,    ,  ,  , ,    ,  ,19210817801,3377250378,New Jersey                                                                                ,A,Y,8414350,3310275,40291026,-74500310,1,34,7354.220055,1368.357772,8722.577827,1195.489656,7417.338536,1303.963716,8721.302253,1134.416335
Atlantic County,Atlantic,County,,274549,,,,,494.0557874,252552,,34001,34001,,,,,,,,1,,,,,,,,,,,,50,0,0,  ,20,1,2,34,1,H1,19,     ,  ,  ,12100,19,99999,999,,,,,,,1439267859,300755451,Atlantic County                                                                           ,A,!,274549,126647,39.469354,-74.6337584,6,1779795,882270,        ,        ,0,1,     ,                  ,34001,50,34,22,34,1,19,     ,  ,  ,     ,  ,0,6162,23,77,N,560,  ,1453175705,285861629,Atlantic County                                                                           ,A,N,252552,114090,39447721,-74621566,6,34001,555.7044508,116.1223338,671.8267845,494.0557874,561.0743003,110.3717967,671.446097,450.1222028
Absecon,Atlantic,city                                                                              ,Suburban,8411,6430,832,667,631,1558.803128,7638,2,3400100100,3400100100,,Absecon City,101,101,34001005,2,A01,1,Absecon,101,,,,,,Absecon City,5.7,"1,475.60",Suburban ,60,0,0,  ,58,1,2,34,1,H1,19,100,C5,13,12100,19,99999,999,,,,,,,13975074,4911452,Absecon city                                                                              ,F,!,8411,3365,39.4235629,-74.4930249,25,1779795,882270,885134,        ,0,1,     ,                  ,3400100100,60,48,22,34,1,19,100,C5,13,     ,  ,9,6162,23,77,N,560,  ,14807423,3131184,Absecon city                                                                              ,F,N,7638,2902,39430416,-74503911,25,3400100100,5.395806467,1.8963223,7.292128767,1558.803128,5.717178226,1.208956953,6.926135179,1335.973744
Atlantic City,Atlantic,city,Urban Center,39558,10543,15148,6153,12044,3680.828343,40517,2,3400102080,3400102080,,Atlantic City,102,102,34001010,2,A02,1,Atlantic City,102,,,,,,Atlantic City,11.84,"3,659.00",Urban Center ,60,0,0,  ,319,1,2,34,1,H1,19,2080,C5,16,12100,19,99999,999,,,,,,,27834698,16289908,Atlantic City city                                                                        ,F,!,39558,20013,39.377297,-74.4510821,25,1779795,882270,885142,        ,0,1,     ,                  ,3400102080,60,284,22,34,1,19,2080,C5,16,     ,  ,9,6162,23,77,N,560,  ,29396135,15546550,Atlantic City city                                                                        ,F,N,40517,20219,39364966,-74439034,25,3400102080,10.74703744,6.289568909,17.03660635,3680.828343,11.34991166,6.002556769,17.35246843,3569.80752
Brigantine,Atlantic,city                                                                           ,Suburban,9450,8253,275,446,650,1479.484549,12594,2,3400107810,3400107810,,Brigantine City,103,103,34001015,2,A03,1,Brigantine,103,,,,,,Brigantine City*,6.39,"1,478.90",Suburban ,60,0,0,  ,1318,1,2,34,1,H1,19,7810,C5,13,12100,19,99999,999,,,,,,,16543185,10301305,Brigantine city                                                                           ,F,!,9450,9222,39.4272906,-74.389617,25,1779795,882270,885171,        ,0,1,     ,                  ,3400107810,60,1257,22,34,1,19,7810,C5,14,     ,  ,9,6162,23,77,N,560,  ,16650411,8695620,Brigantine city                                                                           ,F,N,12594,9304,39402150,-74379074,25,3400107810,6.38735971,3.977356266,10.36471598,1479.484549,6.428759902,3.357397795,9.786157696,1959.009232
Buena,Atlantic,borough                                                                             ,Rural Center,4603,3383,434,82,1354,607.4382117,3873,2,3400108680,3400108680,,Buena Boro,104,104,34001020,1,A04,1,Buena,104,,,,,,Buena Boro,7.4,622,Rural ,60,0,0,  ,1780,1,2,34,1,H1,19,8680,C5,12,12100,19,99999,999,,,,,,,19626218,3410,Buena borough                                                                             ,F,!,4603,1855,39.5291701,-74.9452046,21,1779795,882270,885173,        ,0,1,     ,                  ,3400108680,60,1628,22,34,1,19,8680,C5,12,     ,  ,9,6162,23,77,N,560,  ,19702749,0,Buena borough                                                                             ,F,N,3873,1553,39523475,-74945736,21,3400108680,7.577725457,0.001316608,7.579042065,607.4382117,7.607274242,0,7.607274242,509.1179674
Buena Vista,Atlantic,township,Rural,7570,5918,1018,80,869,184.3922994,7436,2,3400108710,3400108710,,Buena Vista Twp.,105,105,34001025,1,A05,1,Buena Vista,105,,,,,,Buena Vista Twp.,41.83,181,Rural ,60,0,0,  ,1907,1,2,34,1,H1,19,8710,T1,13,12100,19,99999,999,,,,,,,106328785,1229410,Buena Vista township                                                                      ,A,!,7570,3008,39.5130865,-74.8800284,44,1779795,882270,882048,        ,0,1,     ,                  ,3400108710,60,1752,22,34,1,19,8710,T1,13,     ,  ,0,6162,23,77,N,560,  ,107131674,422625,Buena Vista township                                                                      ,A,N,7436,2827,39532508,-74892704,44,3400108710,41.05377515,0.474677875,41.52845303,184.3922994,41.36377234,0.163176432,41.52694877,179.7708376
Corbin City,Atlantic,city,Rural,492,480,2,6,17,64.1846856,468,1,3400115160,3400115160,,Corbin City,106,106,34001030,2,A06,1,Corbin City,106,,,,,,Corbin City,8.3,59.3,Rural ,60,0,0,  ,2317,1,2,34,1,H1,19,15160,C5,7,12100,19,99999,999,,,,,,,19853242,3302576,Corbin City city                                                                          ,F,!,492,212,39.3016745,-74.7055782,25,1779795,882270,885192,        ,0,1,     ,                  ,3400115160,60,2087,22,34,1,19,15160,C5,7,     ,  ,9,6162,23,77,N,560,  ,20428510,2843211,Corbin City city                                                                          ,F,N,468,204,39301631,-74753957,25,3400115160,7.665379917,1.275131777,8.940511694,64.1846856,7.887492143,1.097769951,8.985262094,59.33444896
Egg Harbor Township,Atlantic,township,Rural,43323,30230,4152,5096,5630,650.5169645,30726,2,3400120290,3400120290,,Egg Harbor Twp.,108,108,34001040,2,A08,1,Egg Harbor Township,108,,,,,,Egg Harbor Twp.,67.94,582.2,Rural ,60,0,0,  ,2379,1,2,34,1,H1,19,20290,T1,16,12100,19,99999,999,,,,,,,172487508,21589686,Egg Harbor township                                                                       ,A,!,43323,16347,39.3782911,-74.5997794,44,1779795,882270,882051,        ,0,1,     ,                  ,3400120290,60,2125,22,34,1,19,20290,T1,16,     ,  ,0,6162,23,77,N,560,  ,174432209,19700800,Egg Harbor township                                                                       ,A,Y,30726,12067,39393454,-74592918,44,3400120290,66.597802,8.335824722,74.93362672,650.5169645,67.34865528,7.606521729,74.95517701,456.2229175
Egg Harbor City,Atlantic,city,Rural Center,4243,2671,761,94,1115,388.1204298,4545,2,3400120350,3400120350,,Egg Harbor City,107,107,34001042,2,A07,1,Egg Harbor City,107,,,,,,Egg Harbor City,10.89,389.6,Rural ,60,0,0,  ,3656,1,2,34,1,H1,19,20350,C5,12,12100,19,99999,999,,,,,,,28314199,1310875,Egg Harbor City city                                                                      ,F,!,4243,1736,39.5636873,-74.5958654,25,1779795,882270,885204,        ,0,1,     ,                  ,3400120350,60,3160,22,34,1,19,20350,C5,12,     ,  ,9,6162,23,77,N,560,  ,28766751,1116682,Egg Harbor City city                                                                      ,F,N,4545,1770,39549881,-74617501,25,3400120350,10.93217382,0.506131689,11.43830551,388.1204298,11.10690513,0.431153349,11.53805848,409.2048998
