COUNTY_ID,COUNTY_NAME,DIST_ID,LEA_NAME,SCHOOL_ID,SCHOOL_NAME,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_PRICE_LUNCH,LEP,MIGRANT
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,05,05,32,21,3,5,2,11,4,6,0,0,0,0,0,0,84,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,06,06,25,25,4,8,6,8,5,5,0,0,0,0,1,1,88,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,07,07,29,24,6,7,7,5,4,3,0,0,0,0,0,0,85,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,08,08,30,31,7,4,2,5,7,5,0,0,0,0,0,0,91,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,UG,UG,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,55,TOTAL,118,101,20,26,17,29,20,19,0,0,0,0,1,1,352,125,32,3,0
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,PH,PK,3,0,1,1,3,4,0,0,0,0,0,0,1,1,14,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,KF,KG,23,35,4,6,13,9,4,3,0,0,0,0,3,5,105,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,01,01,21,25,6,7,11,6,3,8,0,0,0,0,0,3,90,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,02,02,33,20,8,10,5,4,4,4,0,0,0,0,2,1,91,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,03,03,31,26,6,4,9,5,2,4,0,0,0,0,1,1,89,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,04,04,36,36,6,2,10,5,8,3,0,0,0,0,1,1,108,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,UG,UG,4,1,3,0,5,2,0,0,0,0,0,0,0,0,15,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,55,TOTAL,151,143,34,30,56,35,21,22,0,0,0,0,8,12,512,182,37,44,0
01,ATLANTIC,0010,ABSECON CITY,999,District Total,PH,PK,3,0,1,1,3,4,0,0,0,0,0,0,1,1,14,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,KF,KG,23,35,4,6,13,9,4,3,0,0,0,0,3,5,105,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,01,01,21,25,6,7,11,6,3,8,0,0,0,0,0,3,90,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,02,02,33,20,8,10,5,4,4,4,0,0,0,0,2,1,91,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,03,03,31,26,6,4,9,5,2,4,0,0,0,0,1,1,89,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,04,04,36,36,6,2,10,5,8,3,0,0,0,0,1,1,108,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,05,05,32,21,3,5,2,11,4,6,0,0,0,0,0,0,84,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,06,06,25,25,4,8,6,8,5,5,0,0,0,0,1,1,88,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,07,07,29,24,6,7,7,5,4,3,0,0,0,0,0,0,85,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,08,08,30,31,7,4,2,5,7,5,0,0,0,0,0,0,91,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,UG,UG,6,1,3,2,5,2,0,0,0,0,0,0,0,0,19,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,55,TOTAL,269,244,54,56,73,64,41,41,0,0,0,0,9,13,864,307,69,47,0
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,09,09,51,37,104,112,120,107,49,45,0,0,0,0,1,0,626,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,10,10,61,49,75,79,99,73,51,44,0,0,0,0,1,0,532,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,11,11,61,55,52,49,69,70,63,37,0,0,0,0,0,0,456,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,12,12,37,52,52,49,66.5,54,44,31,0,0,0,0,1,1,387.5,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,UG,UG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,55,TOTAL,211,193,284,289,354.5,304,207,157,0,0,0,0,3,1,2003.5,1460.5,100,147,0
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,KF,KG,0,2,3,4,18,46,10,4,0,0,0,0,0,0,87,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,01,01,0,0,2,1,30,24,3,5,0,0,4,6,0,0,75,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,02,02,0,0,3,3,30,24,4,11,0,0,4,2,0,0,81,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,03,03,0,1,5,2,22,28,7,5,0,0,2,0,0,0,72,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,04,04,1,0,2,4,22,18,10,3,0,0,1,0,0,0,61,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,05,05,0,0,1,2,17,21,11,6,0,0,2,0,0,0,60,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,06,06,0,1,6,2,33,24,12,12,0,0,0,0,0,0,90,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,07,07,2,1,3,2,31,33,8,13,0,0,0,2,0,0,95,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,08,08,1,0,4,1,33,29,15,18,0,0,0,0,0,0,101,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,UG,UG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,55,TOTAL,4,5,29,21,237,247,80,77,0,0,13,10,0,0,723,654,28,248,0
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,KF,KG,4,0,2,3,11,4,4,3,0,0,0,0,1,0,32,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,01,01,0,0,7,4,10,6,4,5,0,0,0,0,0,0,36,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,02,02,1,1,5,5,4,7,10,2,0,0,0,0,0,0,35,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,03,03,1,1,6,2,5,10,1,3,0,0,0,0,0,0,29,,,,
