,County Code, County Name, District Code, District Name, School Code, School Name, Princ. Title, Princ. First Name, Princ. Last Name, Princ. Title 2, Princ. Email, Address1, Address2, City, State, Zip, Mailing Address1, Mailing Address2, Mailing City, Mailing State, Mailing Zip, HIB Title1, HIB First Nname, HIB Last Name, HIB Title2, Homeless Liaison Title1, Homeless Liaison First Name, Homeless Liaison Last Name, Homeless Liaison Title2, Phone, Pre-K, Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8, Grade 9, Grade 10, Grade 11, Grade 12, Post Grad., Adult Ed.
0,1,ATLANTIC,10,Absecon Public Schools,50,Emma C Attales,Mr,Andrew,Weber,Principal,aweber@abseconschools.org,800 IRELAN AVENUE, ,ABSECON,NJ,08201,800 IRELAN AVENUE,,ABSECON,NJ,08201,Mr,Chris,Bell,Anti-Bullying Specialist,,,,,(609)641-5375,,,,,,,1.0,1.0,1.0,1.0,,,,,,
1,1,ATLANTIC,10,Absecon Public Schools,60,H Ashton Marsh,Mr,Joseph,Giardina,Principal,jgiardina@abseconschools.org,800 IRELAN AVE, ,ABSECON,NJ,08201,800 IRELAN AVE,,ABSECON,NJ,08201,Ms,Jackie,Scott,Anti-Bullying Specialist,,,,,(609)641-5375,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
2,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,Mr,John,DeStefano,Principal,jdestefano@acboe.org,1400 N Albany Avenue, ,Atlantic City,NJ,08401-6153,1400 N Albany Avenue,,Atlantic City,NJ,08401-6153,Ms,Michele,Farrell,Anti-Bullying Specialist,,,,,(609)343-7300,,,,,,,,,,,1.0,1.0,1.0,1.0,,
3,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,Mr,John,DeStefano,Principal,jdestefano@acboe.org,1400 N Albany Avenue, ,Atlantic City,NJ,08401-6153,1400 N Albany Avenue,,Atlantic City,NJ,08401-6153,Ms,Michele,Farrell,Anti-Bullying Specialist,,,,,(609)343-7300,,,,,,,,,,,1.0,1.0,1.0,1.0,,
4,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,Mr,John,DeStefano,Principal,jdestefano@acboe.org,1400 N Albany Avenue, ,Atlantic City,NJ,08401-6153,1400 N Albany Avenue,,Atlantic City,NJ,08401-6153,Ms,Michele,Farrell,Anti-Bullying Specialist,,,,,(609)343-7300,,,,,,,,,,,1.0,1.0,1.0,1.0,,
5,1,ATLANTIC,110,Atlantic City Public Schools,10,Atlantic City High School,Mr,John,DeStefano,Principal,jdestefano@acboe.org,1400 N Albany Avenue, ,Atlantic City,NJ,08401-6153,1400 N Albany Avenue,,Atlantic City,NJ,08401-6153,Ms,Michele,Farrell,Anti-Bullying Specialist,,,,,(609)343-7300,,,,,,,,,,,1.0,1.0,1.0,1.0,,
6,1,ATLANTIC,110,Atlantic City Public Schools,300,Brighton Avenue School,Mrs,Leslie,White-Coursey,Principal,lcoursey@acboe.org,30 N. Brighton Avenue, ,Atlantic City,NJ,08401,30 N. Brighton Avenue,,Atlantic City,NJ,08401,Mrs,Tracey,Singer,Anti-Bullying Specialist,,,,,(609)343-3150,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
7,1,ATLANTIC,110,Atlantic City Public Schools,300,Brighton Avenue School,Mrs,Leslie,White-Coursey,Principal,lcoursey@acboe.org,30 N. Brighton Avenue, ,Atlantic City,NJ,08401,30 N. Brighton Avenue,,Atlantic City,NJ,08401,Mrs,Tracey,Singer,Anti-Bullying Specialist,,,,,(609)343-3150,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
8,1,ATLANTIC,110,Atlantic City Public Schools,300,Brighton Avenue School,Mrs,Leslie,White-Coursey,Principal,lcoursey@acboe.org,30 N. Brighton Avenue, ,Atlantic City,NJ,08401,30 N. Brighton Avenue,,Atlantic City,NJ,08401,Mrs,Tracey,Singer,Anti-Bullying Specialist,,,,,(609)343-3150,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
9,1,ATLANTIC,110,Atlantic City Public Schools,300,Brighton Avenue School,Mrs,Leslie,White-Coursey,Principal,lcoursey@acboe.org,30 N. Brighton Avenue, ,Atlantic City,NJ,08401,30 N. Brighton Avenue,,Atlantic City,NJ,08401,Mrs,Tracey,Singer,Anti-Bullying Specialist,,,,,(609)343-3150,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
